,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
0,0,0.05,0.35,0.05,1,0.03294513879157422,7
1,1,0.05,0.35,0.05,2,0.030970499516375875,7
2,2,0.05,0.35,0.05,4,0.019864608849746345,7
3,3,0.05,0.35,0.05,6,0.0217516310725928,7
4,4,0.05,0.35,0.05,8,0.02248233889094911,7
5,5,0.05,0.35,0.1,1,0.04462995721736205,7
6,6,0.05,0.35,0.1,2,0.04021497720240932,7
7,7,0.05,0.35,0.1,4,0.01826624227937752,7
8,8,0.05,0.35,0.1,6,0.0210220982389816,7
9,9,0.05,0.35,0.1,8,0.02276924995759925,7
10,10,0.05,0.35,0.2,1,0.13433640925037793,7
11,11,0.05,0.35,0.2,2,0.08489628979263124,7
12,12,0.05,0.35,0.2,4,0.020206208270398176,7
13,13,0.05,0.35,0.2,6,0.018946604841391698,7
14,14,0.05,0.35,0.2,8,0.022328433591304903,8
15,15,0.05,0.35,0.3,1,0.3207607831119191,7
16,16,0.05,0.35,0.3,2,0.16503827796533765,7
17,17,0.05,0.35,0.3,4,0.0261017959024425,8
18,18,0.05,0.35,0.3,6,0.03558780644545788,7
19,19,0.05,0.35,0.3,8,0.02238043749392461,7
20,20,0.05,0.35,0.4,1,0.4117284171613758,6
21,21,0.05,0.35,0.4,2,0.311301515926075,7
22,22,0.05,0.35,0.4,4,0.0608226360494033,8
23,23,0.05,0.35,0.4,6,0.029269970800849133,7
24,24,0.05,0.35,0.4,8,0.03720684895259178,7
25,25,0.05,0.5,0.05,1,0.0332168713994073,7
26,26,0.05,0.5,0.05,2,0.030726313569364564,7
27,27,0.05,0.5,0.05,4,0.020170802238498937,7
28,28,0.05,0.5,0.05,6,0.0218983016077265,7
29,29,0.05,0.5,0.05,8,0.022587640914431297,7
30,30,0.05,0.5,0.1,1,0.060855697006285125,6
31,31,0.05,0.5,0.1,2,0.040486155131064405,7
32,32,0.05,0.5,0.1,4,0.019337633745569845,7
33,33,0.05,0.5,0.1,6,0.02151070167820965,7
34,34,0.05,0.5,0.1,8,0.022530780823181232,7
35,35,0.05,0.5,0.2,1,0.2173911847457053,6
36,36,0.05,0.5,0.2,2,0.08072720880471516,6
37,37,0.05,0.5,0.2,4,0.04030663797741688,7
38,38,0.05,0.5,0.2,6,0.01887641567112943,7
39,39,0.05,0.5,0.2,8,0.02238535811191595,7
40,40,0.05,0.5,0.3,1,0.3120836256808412,5
41,41,0.05,0.5,0.3,2,0.16206691967041142,7
42,42,0.05,0.5,0.3,4,0.03924498832201145,7
43,43,0.05,0.5,0.3,6,0.01829276429840553,7
44,44,0.05,0.5,0.3,8,0.022850209156250467,7
45,45,0.05,0.5,0.4,1,0.4118426671599393,4
46,46,0.05,0.5,0.4,2,0.27573279180707205,6
47,47,0.05,0.5,0.4,4,0.04489047300358788,7
48,48,0.05,0.5,0.4,6,0.021023022656382496,7
49,49,0.05,0.5,0.4,8,0.02422514126602124,7
50,50,0.05,1.0,0.05,1,0.5170994345601246,4
51,51,0.05,1.0,0.05,2,0.5217468911586094,4
52,52,0.05,1.0,0.05,4,0.5215074906868802,4
53,53,0.05,1.0,0.05,6,0.5211637520449153,4
54,54,0.05,1.0,0.05,8,0.5211637520449153,4
55,55,0.05,1.0,0.1,1,0.5113881919974705,4
56,56,0.05,1.0,0.1,2,0.5217313213416099,4
57,57,0.05,1.0,0.1,4,0.5218557134315573,4
58,58,0.05,1.0,0.1,6,0.5211637520449153,4
59,59,0.05,1.0,0.1,8,0.5211637520449153,4
60,60,0.05,1.0,0.2,1,0.4695780906633,4
61,61,0.05,1.0,0.2,2,0.4811170716479167,4
62,62,0.05,1.0,0.2,4,0.5225416057748404,4
63,63,0.05,1.0,0.2,6,0.5211637520449153,4
64,64,0.05,1.0,0.2,8,0.5211637520449153,4
65,65,0.05,1.0,0.3,1,0.5210869445423009,4
66,66,0.05,1.0,0.3,2,0.44235703504566976,4
67,67,0.05,1.0,0.3,4,0.511876380190942,4
68,68,0.05,1.0,0.3,6,0.5211637520449153,4
69,69,0.05,1.0,0.3,8,0.5211637520449153,4
70,70,0.05,1.0,0.4,1,0.5822777494026892,3
71,71,0.05,1.0,0.4,2,0.5969851053790466,4
72,72,0.05,1.0,0.4,4,0.5115367851239195,4
73,73,0.05,1.0,0.4,6,0.5211637520449153,4
74,74,0.05,1.0,0.4,8,0.5211637520449153,4
75,75,0.1,0.35,0.05,1,0.02168606169861053,7
76,76,0.1,0.35,0.05,2,0.020391489278971043,7
77,77,0.1,0.35,0.05,4,0.015208200007552037,7
78,78,0.1,0.35,0.05,6,0.01562177847020928,7
79,79,0.1,0.35,0.05,8,0.017227248619806255,7
80,80,0.1,0.35,0.1,1,0.02961545532958401,7
81,81,0.1,0.35,0.1,2,0.02816466383177832,7
82,82,0.1,0.35,0.1,4,0.015078173242095162,7
83,83,0.1,0.35,0.1,6,0.01453235234418065,7
84,84,0.1,0.35,0.1,8,0.017507582359307647,7
85,85,0.1,0.35,0.2,1,0.1002318944593176,7
86,86,0.1,0.35,0.2,2,0.05377207992228879,7
87,87,0.1,0.35,0.2,4,0.021932875904490952,7
88,88,0.1,0.35,0.2,6,0.02262156112170596,7
89,89,0.1,0.35,0.2,8,0.019014135195982232,7
90,90,0.1,0.35,0.3,1,0.2895337514133971,6
91,91,0.1,0.35,0.3,2,0.11336825000369995,7
92,92,0.1,0.35,0.3,4,0.023796831877320842,9
93,93,0.1,0.35,0.3,6,0.017079174762994302,7
94,94,0.1,0.35,0.3,8,0.01735391325240873,7
95,95,0.1,0.35,0.4,1,0.2952991276335353,7
96,96,0.1,0.35,0.4,2,0.2271677122419195,8
97,97,0.1,0.35,0.4,4,0.047703321570694665,8
98,98,0.1,0.35,0.4,6,0.029869023455349305,7
99,99,0.1,0.35,0.4,8,0.0169710668996214,7
100,100,0.1,0.5,0.05,1,0.021538957150009433,7
101,101,0.1,0.5,0.05,2,0.02064817784761746,7
102,102,0.1,0.5,0.05,4,0.015589268872174404,7
103,103,0.1,0.5,0.05,6,0.016285221973665245,7
104,104,0.1,0.5,0.05,8,0.016937052565972534,7
105,105,0.1,0.5,0.1,1,0.041931374996597805,6
106,106,0.1,0.5,0.1,2,0.02857787154222112,7
107,107,0.1,0.5,0.1,4,0.015607698229740627,7
108,108,0.1,0.5,0.1,6,0.015591389729645518,7
109,109,0.1,0.5,0.1,8,0.017042935616084973,7
110,110,0.1,0.5,0.2,1,0.1893521993694859,6
111,111,0.1,0.5,0.2,2,0.050756093465303714,6
112,112,0.1,0.5,0.2,4,0.034668245053308615,7
113,113,0.1,0.5,0.2,6,0.0142235187580803,7
114,114,0.1,0.5,0.2,8,0.01739949861080127,7
115,115,0.1,0.5,0.3,1,0.19651873135826226,6
116,116,0.1,0.5,0.3,2,0.11389235138929303,6
117,117,0.1,0.5,0.3,4,0.0379227055953006,7
118,118,0.1,0.5,0.3,6,0.01512392490507479,7
119,119,0.1,0.5,0.3,8,0.01680322056618024,7
120,120,0.1,0.5,0.4,1,0.3193752161381777,5
121,121,0.1,0.5,0.4,2,0.23951017020432036,6
122,122,0.1,0.5,0.4,4,0.04555864443149889,7
123,123,0.1,0.5,0.4,6,0.01644319190756346,7
124,124,0.1,0.5,0.4,8,0.017303420565519687,7
125,125,0.1,1.0,0.05,1,0.5167971983377594,4
126,126,0.1,1.0,0.05,2,0.5205477258942245,4
127,127,0.1,1.0,0.05,4,0.5211061804032687,4
128,128,0.1,1.0,0.05,6,0.5207407316705343,4
129,129,0.1,1.0,0.05,8,0.5207407316705343,4
130,130,0.1,1.0,0.1,1,0.5109663382574197,4
131,131,0.1,1.0,0.1,2,0.5194757156846787,4
132,132,0.1,1.0,0.1,4,0.5214762990576545,4
133,133,0.1,1.0,0.1,6,0.5207407316705343,4
134,134,0.1,1.0,0.1,8,0.5207407316705343,4
135,135,0.1,1.0,0.2,1,0.4676209320873012,4
136,136,0.1,1.0,0.2,2,0.4747671609362072,4
137,137,0.1,1.0,0.2,4,0.5222061742501254,4
138,138,0.1,1.0,0.2,6,0.5207407316705343,4
139,139,0.1,1.0,0.2,8,0.5207407316705343,4
140,140,0.1,1.0,0.3,1,0.5210319174679491,4
141,141,0.1,1.0,0.3,2,0.4409291453188244,4
142,142,0.1,1.0,0.3,4,0.5114621525726977,4
143,143,0.1,1.0,0.3,6,0.5207407316705343,4
144,144,0.1,1.0,0.3,8,0.5207407316705343,4
145,145,0.1,1.0,0.4,1,0.5900555291619678,3
146,146,0.1,1.0,0.4,2,0.6096051961366705,4
147,147,0.1,1.0,0.4,4,0.5111343232660177,4
148,148,0.1,1.0,0.4,6,0.5207407316705343,4
149,149,0.1,1.0,0.4,8,0.5207407316705343,4
150,150,0.2,0.35,0.05,1,0.019257566214920748,7
151,151,0.2,0.35,0.05,2,0.017801152479461763,7
152,152,0.2,0.35,0.05,4,0.01405416977929972,7
153,153,0.2,0.35,0.05,6,0.014006992133026155,7
154,154,0.2,0.35,0.05,8,0.015339358392089391,7
155,155,0.2,0.35,0.1,1,0.025041734293736847,7
156,156,0.2,0.35,0.1,2,0.02323847091035141,7
157,157,0.2,0.35,0.1,4,0.01497499458981582,7
158,158,0.2,0.35,0.1,6,0.014119944105375972,7
159,159,0.2,0.35,0.1,8,0.015170103437811716,7
160,160,0.2,0.35,0.2,1,0.07028000096410866,7
161,161,0.2,0.35,0.2,2,0.052471125248327824,7
162,162,0.2,0.35,0.2,4,0.020581234184200704,7
163,163,0.2,0.35,0.2,6,0.014555879401585238,7
164,164,0.2,0.35,0.2,8,0.01514999933508856,7
165,165,0.2,0.35,0.3,1,0.2841805638698623,6
166,166,0.2,0.35,0.3,2,0.12672698490625942,6
167,167,0.2,0.35,0.3,4,0.045472033248707626,8
168,168,0.2,0.35,0.3,6,0.015654881186888563,7
169,169,0.2,0.35,0.3,8,0.015639710267154716,8
170,170,0.2,0.35,0.4,1,0.2408654943227397,6
171,171,0.2,0.35,0.4,2,0.18830330687111968,10
172,172,0.2,0.35,0.4,4,0.05983589628444039,8
173,173,0.2,0.35,0.4,6,0.022085723053154028,7
174,174,0.2,0.35,0.4,8,0.016020055333797464,7
175,175,0.2,0.5,0.05,1,0.020220977244763,7
176,176,0.2,0.5,0.05,2,0.0188058347191812,7
177,177,0.2,0.5,0.05,4,0.014392681219549106,7
178,178,0.2,0.5,0.05,6,0.014399228384470173,7
179,179,0.2,0.5,0.05,8,0.014816138561055781,7
180,180,0.2,0.5,0.1,1,0.04594564281863575,7
181,181,0.2,0.5,0.1,2,0.03332273479160599,7
182,182,0.2,0.5,0.1,4,0.014582752342185503,7
183,183,0.2,0.5,0.1,6,0.01372009738614957,7
184,184,0.2,0.5,0.1,8,0.0148986833866024,7
185,185,0.2,0.5,0.2,1,0.17661858864987298,6
186,186,0.2,0.5,0.2,2,0.041034817825522915,6
187,187,0.2,0.5,0.2,4,0.019238671201980556,7
188,188,0.2,0.5,0.2,6,0.014736687557615747,7
189,189,0.2,0.5,0.2,8,0.015466825940426587,7
190,190,0.2,0.5,0.3,1,0.1324301496547908,6
191,191,0.2,0.5,0.3,2,0.10920302645972788,6
192,192,0.2,0.5,0.3,4,0.02432737012463986,7
193,193,0.2,0.5,0.3,6,0.013987342313448423,7
194,194,0.2,0.5,0.3,8,0.014988357977682366,7
195,195,0.2,0.5,0.4,1,0.2525809767095423,5
196,196,0.2,0.5,0.4,2,0.23548418806302585,6
197,197,0.2,0.5,0.4,4,0.031678806143556434,8
198,198,0.2,0.5,0.4,6,0.030579207628383426,7
199,199,0.2,0.5,0.4,8,0.01496131857390696,7
200,200,0.2,1.0,0.05,1,0.5190023535990261,4
201,201,0.2,1.0,0.05,2,0.5211989822220078,4
202,202,0.2,1.0,0.05,4,0.5233783161747109,4
203,203,0.2,1.0,0.05,6,0.5229859513760026,4
204,204,0.2,1.0,0.05,8,0.5229859513760026,4
205,205,0.2,1.0,0.1,1,0.5129614776508403,4
206,206,0.2,1.0,0.1,2,0.5185883457690376,4
207,207,0.2,1.0,0.1,4,0.5237747929990177,4
208,208,0.2,1.0,0.1,6,0.5229859513760026,4
209,209,0.2,1.0,0.1,8,0.5229859513760026,4
210,210,0.2,1.0,0.2,1,0.46715815363869606,4
211,211,0.2,1.0,0.2,2,0.5093914174369405,4
212,212,0.2,1.0,0.2,4,0.5245581868556002,4
213,213,0.2,1.0,0.2,6,0.5229859513760026,4
214,214,0.2,1.0,0.2,8,0.5229859513760026,4
215,215,0.2,1.0,0.3,1,0.5267986908928968,4
216,216,0.2,1.0,0.3,2,0.4639663686219106,4
217,217,0.2,1.0,0.3,4,0.5138459313769935,4
218,218,0.2,1.0,0.3,6,0.5229859513760026,4
219,219,0.2,1.0,0.3,8,0.5229859513760026,4
220,220,0.2,1.0,0.4,1,0.5944201050498049,3
221,221,0.2,1.0,0.4,2,0.6738261089956064,4
222,222,0.2,1.0,0.4,4,0.5136324849415976,4
223,223,0.2,1.0,0.4,6,0.5229859513760026,4
224,224,0.2,1.0,0.4,8,0.5229859513760026,4
0,0,0.3,0.35,0.05,1,0.034428492064375725,7
1,1,0.3,0.35,0.05,2,0.03514095900450342,7
2,2,0.3,0.35,0.05,4,0.033912473207770945,7
3,3,0.3,0.35,0.05,6,0.050544479974911016,7
4,4,0.3,0.35,0.05,8,0.045565331478779836,7
5,5,0.3,0.35,0.1,1,0.047666642101535865,7
6,6,0.3,0.35,0.1,2,0.03345805206124315,7
7,7,0.3,0.35,0.1,4,0.033483898632052665,8
8,8,0.3,0.35,0.1,6,0.055391664218039836,7
9,9,0.3,0.35,0.1,8,0.04573436677022486,7
10,10,0.3,0.35,0.2,1,0.19576502042572647,6
11,11,0.3,0.35,0.2,2,0.03588943898932115,7
12,12,0.3,0.35,0.2,4,0.03690988268486922,7
13,13,0.3,0.35,0.2,6,0.055973639392294584,7
14,14,0.3,0.35,0.2,8,0.04390777252170195,7
15,15,0.3,0.35,0.3,1,0.2792401816899895,7
16,16,0.3,0.35,0.3,2,0.09880858409617384,7
17,17,0.3,0.35,0.3,4,0.04704359472704071,7
18,18,0.3,0.35,0.3,6,0.05437669949695431,15
19,19,0.3,0.35,0.3,8,0.04366131639420609,9
20,20,0.3,0.35,0.4,1,0.31739034308653963,29
21,21,0.3,0.35,0.4,2,0.11665435142772808,12
22,22,0.3,0.35,0.4,4,0.07167100778813182,78
23,23,0.3,0.35,0.4,6,0.08475208182256849,69
24,24,0.3,0.35,0.4,8,0.057852776363632924,7
25,25,0.3,0.5,0.05,1,0.09466534865988424,7
26,26,0.3,0.5,0.05,2,0.09846250986120572,6
27,27,0.3,0.5,0.05,4,0.1320846472368153,6
28,28,0.3,0.5,0.05,6,0.20082430249300096,6
29,29,0.3,0.5,0.05,8,0.18856141903807846,6
30,30,0.3,0.5,0.1,1,0.05410456885166201,7
31,31,0.3,0.5,0.1,2,0.07423587325827433,7
32,32,0.3,0.5,0.1,4,0.0961176792495883,7
33,33,0.3,0.5,0.1,6,0.19580322968108796,6
34,34,0.3,0.5,0.1,8,0.19643093259337552,6
35,35,0.3,0.5,0.2,1,0.060827502559129776,7
36,36,0.3,0.5,0.2,2,0.04557474788825082,7
37,37,0.3,0.5,0.2,4,0.06345719202432751,7
38,38,0.3,0.5,0.2,6,0.1921519164309026,7
39,39,0.3,0.5,0.2,8,0.18513167939555766,6
40,40,0.3,0.5,0.3,1,0.089717455524288,7
41,41,0.3,0.5,0.3,2,0.041659494877825456,7
42,42,0.3,0.5,0.3,4,0.060953245163896976,7
43,43,0.3,0.5,0.3,6,0.24707279994912934,6
44,44,0.3,0.5,0.3,8,0.18911605779573087,6
45,45,0.3,0.5,0.4,1,0.06499624958546407,7
46,46,0.3,0.5,0.4,2,0.11781678824762967,7
47,47,0.3,0.5,0.4,4,0.11882816099536435,7
48,48,0.3,0.5,0.4,6,0.2257999848529441,6
49,49,0.3,0.5,0.4,8,0.185521983055812,11
50,50,0.3,1.0,0.05,1,0.4360248873016265,5
51,51,0.3,1.0,0.05,2,0.4572451216745618,5
52,52,0.3,1.0,0.05,4,0.4585679070917765,5
53,53,0.3,1.0,0.05,6,0.5067375108271093,5
54,54,0.3,1.0,0.05,8,0.5065738949732799,5
55,55,0.3,1.0,0.1,1,0.4194602591993914,5
56,56,0.3,1.0,0.1,2,0.4333155359232953,5
57,57,0.3,1.0,0.1,4,0.4309258337493283,5
58,58,0.3,1.0,0.1,6,0.5073115522108811,5
59,59,0.3,1.0,0.1,8,0.5065738949732799,5
60,60,0.3,1.0,0.2,1,0.4032541026793152,5
61,61,0.3,1.0,0.2,2,0.3994297662717862,5
62,62,0.3,1.0,0.2,4,0.4382200274165764,5
63,63,0.3,1.0,0.2,6,0.5081318777986215,5
64,64,0.3,1.0,0.2,8,0.5065738949732799,5
65,65,0.3,1.0,0.3,1,0.3637384946191004,5
66,66,0.3,1.0,0.3,2,0.3648244894956396,5
67,67,0.3,1.0,0.3,4,0.39116372400133104,6
68,68,0.3,1.0,0.3,6,0.5090154728217354,5
69,69,0.3,1.0,0.3,8,0.5065738949732799,5
70,70,0.3,1.0,0.4,1,0.3836617923335547,6
71,71,0.3,1.0,0.4,2,0.3634825966354438,5
72,72,0.3,1.0,0.4,4,0.3639318505215063,6
73,73,0.3,1.0,0.4,6,0.510753566821045,5
74,74,0.3,1.0,0.4,8,0.5065738949732799,5
75,75,0.5,0.35,0.05,1,0.03998736757723564,7
76,76,0.5,0.35,0.05,2,0.04602065642376243,7
77,77,0.5,0.35,0.05,4,0.054553448086132855,7
78,78,0.5,0.35,0.05,6,0.058777083337480725,7
79,79,0.5,0.35,0.05,8,0.058971203272714476,7
80,80,0.5,0.35,0.1,1,0.049424393454187386,7
81,81,0.5,0.35,0.1,2,0.04168451300051524,7
82,82,0.5,0.35,0.1,4,0.04525215362717569,8
83,83,0.5,0.35,0.1,6,0.057545583089858965,8
84,84,0.5,0.35,0.1,8,0.06446220627879677,7
85,85,0.5,0.35,0.2,1,0.1771773316090691,7
86,86,0.5,0.35,0.2,2,0.055926646575594784,7
87,87,0.5,0.35,0.2,4,0.0488478015843224,7
88,88,0.5,0.35,0.2,6,0.04928847569024358,10
89,89,0.5,0.35,0.2,8,0.07314680649998694,7
90,90,0.5,0.35,0.3,1,0.2858662355085858,6
91,91,0.5,0.35,0.3,2,0.16582134622910746,11
92,92,0.5,0.35,0.3,4,0.064351983928501,12
93,93,0.5,0.35,0.3,6,0.0485751063990904,16
94,94,0.5,0.35,0.3,8,0.06005335211572025,7
95,95,0.5,0.35,0.4,1,0.37417983445995295,11
96,96,0.5,0.35,0.4,2,0.1566214677721481,38
97,97,0.5,0.35,0.4,4,0.05477556916628757,29
98,98,0.5,0.35,0.4,6,0.0813617174964638,82
99,99,0.5,0.35,0.4,8,0.07563327600822108,77
100,100,0.5,0.5,0.05,1,0.10959973674340917,7
101,101,0.5,0.5,0.05,2,0.12201760916096872,6
102,102,0.5,0.5,0.05,4,0.15469942977980528,6
103,103,0.5,0.5,0.05,6,0.23426846250612945,6
104,104,0.5,0.5,0.05,8,0.2304531185347948,6
105,105,0.5,0.5,0.1,1,0.06655061468621305,7
106,106,0.5,0.5,0.1,2,0.08841859651093319,7
107,107,0.5,0.5,0.1,4,0.11503011319005772,7
108,108,0.5,0.5,0.1,6,0.2351167875038033,6
109,109,0.5,0.5,0.1,8,0.21541521559505628,6
110,110,0.5,0.5,0.2,1,0.08264711907056503,6
111,111,0.5,0.5,0.2,2,0.04867327010459345,7
112,112,0.5,0.5,0.2,4,0.09743329459131304,7
113,113,0.5,0.5,0.2,6,0.21908394825318286,7
114,114,0.5,0.5,0.2,8,0.21449207223032749,6
115,115,0.5,0.5,0.3,1,0.11111137015994103,7
116,116,0.5,0.5,0.3,2,0.0518290899248611,7
117,117,0.5,0.5,0.3,4,0.07087793195265267,12
118,118,0.5,0.5,0.3,6,0.28819720715005365,6
119,119,0.5,0.5,0.3,8,0.21604554646184293,6
120,120,0.5,0.5,0.4,1,0.08327338945109579,7
121,121,0.5,0.5,0.4,2,0.10809538431592,7
122,122,0.5,0.5,0.4,4,0.11826051222904466,6
123,123,0.5,0.5,0.4,6,0.24397464051503015,6
124,124,0.5,0.5,0.4,8,0.2325909215932779,62
125,125,0.5,1.0,0.05,1,0.6625944552979471,5
126,126,0.5,1.0,0.05,2,0.6405411417074979,5
127,127,0.5,1.0,0.05,4,0.5063035738923479,5
128,128,0.5,1.0,0.05,6,0.5600092972115133,5
129,129,0.5,1.0,0.05,8,0.561893381873804,5
130,130,0.5,1.0,0.1,1,0.6637382458961685,5
131,131,0.5,1.0,0.1,2,0.6332159565427493,5
132,132,0.5,1.0,0.1,4,0.5107391773376021,5
133,133,0.5,1.0,0.1,6,0.5550651693566209,5
134,134,0.5,1.0,0.1,8,0.561893381873804,5
135,135,0.5,1.0,0.2,1,0.6307584101168924,5
136,136,0.5,1.0,0.2,2,0.5897955177298553,5
137,137,0.5,1.0,0.2,4,0.492216580984168,5
138,138,0.5,1.0,0.2,6,0.5577260100605712,5
139,139,0.5,1.0,0.2,8,0.561893381873804,5
140,140,0.5,1.0,0.3,1,0.5531927858110592,5
141,141,0.5,1.0,0.3,2,0.5298648542022816,5
142,142,0.5,1.0,0.3,4,0.4546789126320807,5
143,143,0.5,1.0,0.3,6,0.5512821751136472,5
144,144,0.5,1.0,0.3,8,0.561893381873804,5
145,145,0.5,1.0,0.4,1,0.4346629198670644,6
146,146,0.5,1.0,0.4,2,0.561687155262729,5
147,147,0.5,1.0,0.4,4,0.4433844258054891,5
148,148,0.5,1.0,0.4,6,0.5497800954839793,5
149,149,0.5,1.0,0.4,8,0.561893381873804,5
150,150,0.9,0.35,0.05,1,0.06490230063088641,7
151,151,0.9,0.35,0.05,2,0.06982516848059475,7
152,152,0.9,0.35,0.05,4,0.07366795509287914,7
153,153,0.9,0.35,0.05,6,0.08727469932763363,7
154,154,0.9,0.35,0.05,8,0.09357285880094787,7
155,155,0.9,0.35,0.1,1,0.08714418538745877,7
156,156,0.9,0.35,0.1,2,0.06902388728275742,7
157,157,0.9,0.35,0.1,4,0.08279539879585694,7
158,158,0.9,0.35,0.1,6,0.08464638828534281,8
159,159,0.9,0.35,0.1,8,0.0947555690725583,7
160,160,0.9,0.35,0.2,1,0.2176025971975387,7
161,161,0.9,0.35,0.2,2,0.08838414369580662,7
162,162,0.9,0.35,0.2,4,0.08867883547339711,7
163,163,0.9,0.35,0.2,6,0.08771306029075875,7
164,164,0.9,0.35,0.2,8,0.10509739373100707,55
165,165,0.9,0.35,0.3,1,0.4263689847036349,6
166,166,0.9,0.35,0.3,2,0.32951970749574705,27
167,167,0.9,0.35,0.3,4,0.14076389510138462,7
168,168,0.9,0.35,0.3,6,0.1019378518032244,80
169,169,0.9,0.35,0.3,8,0.10831504369580423,7
170,170,0.9,0.35,0.4,1,1.046831725588932,7
171,171,0.9,0.35,0.4,2,0.3627635825506183,13
172,172,0.9,0.35,0.4,4,0.1617103994192677,130
173,173,0.9,0.35,0.4,6,0.12727673454906305,83
174,174,0.9,0.35,0.4,8,0.10804511713579293,84
175,175,0.9,0.5,0.05,1,0.17152426377607707,7
176,176,0.9,0.5,0.05,2,0.2200219965824009,6
177,177,0.9,0.5,0.05,4,0.2745487095354973,6
178,178,0.9,0.5,0.05,6,0.3857038684885434,6
179,179,0.9,0.5,0.05,8,0.37590707306721055,6
180,180,0.9,0.5,0.1,1,0.10377997061471436,7
181,181,0.9,0.5,0.1,2,0.14451359683373174,7
182,182,0.9,0.5,0.1,4,0.22292706258586714,6
183,183,0.9,0.5,0.1,6,0.3915210846324168,6
184,184,0.9,0.5,0.1,8,0.3756015598656747,6
185,185,0.9,0.5,0.2,1,0.11983426733036262,7
186,186,0.9,0.5,0.2,2,0.1343693342161194,7
187,187,0.9,0.5,0.2,4,0.18563742717681786,7
188,188,0.9,0.5,0.2,6,0.3782582884826042,6
189,189,0.9,0.5,0.2,8,0.3736012801322836,6
190,190,0.9,0.5,0.3,1,0.15207840175542384,7
191,191,0.9,0.5,0.3,2,0.05455393816876345,19
192,192,0.9,0.5,0.3,4,0.1359160752375456,7
193,193,0.9,0.5,0.3,6,0.4814985854685984,6
194,194,0.9,0.5,0.3,8,0.3914915432110617,67
195,195,0.9,0.5,0.4,1,0.11041453849011244,8
196,196,0.9,0.5,0.4,2,0.1758226628809233,51
197,197,0.9,0.5,0.4,4,0.17207214827129827,73
198,198,0.9,0.5,0.4,6,0.4191989888379469,81
199,199,0.9,0.5,0.4,8,0.3920930045649304,73
200,200,0.9,1.0,0.05,1,1.06972515489944,5
201,201,0.9,1.0,0.05,2,1.0224130249776169,5
202,202,0.9,1.0,0.05,4,0.8753093047046631,5
203,203,0.9,1.0,0.05,6,0.8800883015726805,5
204,204,0.9,1.0,0.05,8,0.8870546328570079,5
205,205,0.9,1.0,0.1,1,1.0855582904236682,5
206,206,0.9,1.0,0.1,2,0.9952306330301676,5
207,207,0.9,1.0,0.1,4,0.8540991266482649,5
208,208,0.9,1.0,0.1,6,0.8662258426075243,5
209,209,0.9,1.0,0.1,8,0.8870546328570079,5
210,210,0.9,1.0,0.2,1,1.0398593998632386,5
211,211,0.9,1.0,0.2,2,0.9082115870363372,5
212,212,0.9,1.0,0.2,4,0.8427934771592491,5
213,213,0.9,1.0,0.2,6,0.8742485818917678,5
214,214,0.9,1.0,0.2,8,0.8870546328570079,5
215,215,0.9,1.0,0.3,1,0.8690991590496772,5
216,216,0.9,1.0,0.3,2,0.7494584751455327,5
217,217,0.9,1.0,0.3,4,0.8113681381937038,5
218,218,0.9,1.0,0.3,6,0.8607370670307148,5
219,219,0.9,1.0,0.3,8,0.8870546328570079,5
220,220,0.9,1.0,0.4,1,0.8497635131642371,6
221,221,0.9,1.0,0.4,2,0.8448202866034439,5
222,222,0.9,1.0,0.4,4,0.7487379418210786,5
223,223,0.9,1.0,0.4,6,0.8596369924297957,5
224,224,0.9,1.0,0.4,8,0.8870546328570079,5
