,Unnamed: 0,Unnamed: 0.1,eta,epsilon,mu,K,TMSE,CB
0,0,0.0,0.3,0.35,0.05,1,0.2628770094417637,23
1,1,1.0,0.3,0.35,0.05,2,0.6438114307431497,24
2,2,2.0,0.3,0.35,0.05,4,0.4926691893348514,26
3,3,3.0,0.3,0.35,0.05,6,0.4712018882426197,33
4,4,4.0,0.3,0.35,0.05,8,0.2376661600945927,39
5,5,5.0,0.3,0.35,0.1,1,1.7062104417923336,13
6,6,6.0,0.3,0.35,0.1,2,1.9231942964743949,13
7,7,7.0,0.3,0.35,0.1,4,2.4797161024372083,20
8,8,8.0,0.3,0.35,0.1,6,1.3569276524963412,19
9,9,9.0,0.3,0.35,0.1,8,2.7936701048290504,25
10,10,10.0,0.3,0.35,0.2,1,4.598898362180608,9
11,11,11.0,0.3,0.35,0.2,2,6.424406512291958,10
12,12,12.0,0.3,0.35,0.2,4,4.720479447448504,13
13,13,13.0,0.3,0.35,0.2,6,3.2416148216126928,17
14,14,14.0,0.3,0.35,0.2,8,2.5844659081611687,23
15,15,15.0,0.3,0.35,0.3,1,3.3415002295671337,9
16,16,16.0,0.3,0.35,0.3,2,3.366027218590042,12
17,17,17.0,0.3,0.35,0.3,4,3.3179490094333177,14
18,18,18.0,0.3,0.35,0.3,6,1.5657370753881414,23
19,19,19.0,0.3,0.35,0.3,8,3.2993870545945336,28
20,20,20.0,0.3,0.35,0.4,1,4.930425068871119,9
21,21,21.0,0.3,0.35,0.4,2,4.021672275792812,13
22,22,22.0,0.3,0.35,0.4,4,3.5659198472005182,13
23,23,23.0,0.3,0.35,0.4,6,2.930445334088754,20
24,24,24.0,0.3,0.35,0.4,8,3.39024830226636,27
25,25,25.0,0.3,0.5,0.05,1,0.2751286956303518,17
26,26,26.0,0.3,0.5,0.05,2,0.7314403668690341,17
27,27,27.0,0.3,0.5,0.05,4,0.5301711069368811,22
28,28,28.0,0.3,0.5,0.05,6,0.19697730493435145,25
29,29,29.0,0.3,0.5,0.05,8,0.1703972670859246,28
30,30,30.0,0.3,0.5,0.1,1,1.0827394773015269,11
31,31,31.0,0.3,0.5,0.1,2,1.1818529884972755,11
32,32,32.0,0.3,0.5,0.1,4,1.043454108047034,14
33,33,33.0,0.3,0.5,0.1,6,0.5504267188043728,17
34,34,34.0,0.3,0.5,0.1,8,0.5149924587325867,22
35,35,35.0,0.3,0.5,0.2,1,2.4195461336413704,7
36,36,36.0,0.3,0.5,0.2,2,2.767649787109736,8
37,37,37.0,0.3,0.5,0.2,4,1.92912618260676,13
38,38,38.0,0.3,0.5,0.2,6,2.3259487804073733,14
39,39,39.0,0.3,0.5,0.2,8,1.6534802010461245,20
40,40,40.0,0.3,0.5,0.3,1,3.0819303713166057,7
41,41,41.0,0.3,0.5,0.3,2,6.91951593993643,8
42,42,42.0,0.3,0.5,0.3,4,2.7698808639163928,11
43,43,43.0,0.3,0.5,0.3,6,1.803389315371367,14
44,44,44.0,0.3,0.5,0.3,8,1.1807570011219837,17
45,45,45.0,0.3,0.5,0.4,1,6.1946356978785015,8
46,46,46.0,0.3,0.5,0.4,2,4.540612257017325,8
47,47,47.0,0.3,0.5,0.4,4,3.795085477403852,109
48,48,48.0,0.3,0.5,0.4,6,4.192670014737876,16
49,49,49.0,0.3,0.5,0.4,8,2.538531628628925,20
50,50,50.0,0.3,1.0,0.05,1,0.29495745256686395,9
51,51,51.0,0.3,1.0,0.05,2,0.3517727442922537,10
52,52,52.0,0.3,1.0,0.05,4,0.3353504740058752,10
53,53,53.0,0.3,1.0,0.05,6,0.28258873220974473,11
54,54,54.0,0.3,1.0,0.05,8,0.2822890073711549,12
55,55,55.0,0.3,1.0,0.1,1,0.5241289786774603,7
56,56,56.0,0.3,1.0,0.1,2,0.5401665178396206,8
57,57,57.0,0.3,1.0,0.1,4,0.6309627168814023,9
58,58,58.0,0.3,1.0,0.1,6,0.4433373229487535,10
59,59,59.0,0.3,1.0,0.1,8,0.4215791502364729,11
60,60,60.0,0.3,1.0,0.2,1,1.5699603504288435,4
61,61,61.0,0.3,1.0,0.2,2,0.9317972426009626,6
62,62,62.0,0.3,1.0,0.2,4,1.119973423904263,7
63,63,63.0,0.3,1.0,0.2,6,0.7391551773612627,9
64,64,64.0,0.3,1.0,0.2,8,0.6554581566229097,10
65,65,65.0,0.3,1.0,0.3,1,3.133542828880707,4
66,66,66.0,0.3,1.0,0.3,2,2.111067030663794,5
67,67,67.0,0.3,1.0,0.3,4,1.2988610616228804,6
68,68,68.0,0.3,1.0,0.3,6,1.2034463543036318,8
69,69,69.0,0.3,1.0,0.3,8,0.5899728449077349,9
70,70,70.0,0.3,1.0,0.4,1,5.1596300835638305,4
71,71,71.0,0.3,1.0,0.4,2,4.474354862690872,5
72,72,72.0,0.3,1.0,0.4,4,2.0137931151217443,6
73,73,73.0,0.3,1.0,0.4,6,2.609057908476959,8
74,74,74.0,0.3,1.0,0.4,8,1.7221941882454532,9
75,75,75.0,0.5,0.35,0.05,1,0.42189913281128666,23
76,76,76.0,0.5,0.35,0.05,2,0.4445622294335241,24
77,77,77.0,0.5,0.35,0.05,4,0.5290804247320187,26
78,78,78.0,0.5,0.35,0.05,6,0.5707709947433601,32
79,79,79.0,0.5,0.35,0.05,8,1.0181420483684616,37
80,80,80.0,0.5,0.35,0.1,1,2.829212528247836,13
81,81,81.0,0.5,0.35,0.1,2,2.2239497817577383,13
82,82,82.0,0.5,0.35,0.1,4,1.962739415396632,17
83,83,83.0,0.5,0.35,0.1,6,2.157862738032904,18
84,84,84.0,0.5,0.35,0.1,8,5.3831465985163724,25
85,85,85.0,0.5,0.35,0.2,1,7.0028324960131165,9
86,86,86.0,0.5,0.35,0.2,2,4.016614351553659,11
87,87,87.0,0.5,0.35,0.2,4,2.7489497840375825,16
88,88,88.0,0.5,0.35,0.2,6,5.789333922677761,17
89,89,89.0,0.5,0.35,0.2,8,5.50456666734295,24
90,90,90.0,0.5,0.35,0.3,1,4.1230313080919965,10
91,91,91.0,0.5,0.35,0.3,2,5.767359466117443,11
92,92,92.0,0.5,0.35,0.3,4,2.7824012718238094,15
93,93,93.0,0.5,0.35,0.3,6,1.9360759891958537,21
94,94,94.0,0.5,0.35,0.3,8,2.655866531297625,36
95,95,95.0,0.5,0.35,0.4,1,7.798440865830186,10
96,96,96.0,0.5,0.35,0.4,2,3.9038889869728193,193
97,97,97.0,0.5,0.35,0.4,4,4.325183610079966,165
98,98,98.0,0.5,0.35,0.4,6,3.411654224973492,22
99,99,99.0,0.5,0.35,0.4,8,5.209900158881148,222
100,100,100.0,0.5,0.5,0.05,1,1.011560526980682,17
101,101,101.0,0.5,0.5,0.05,2,0.8793232109497179,16
102,102,102.0,0.5,0.5,0.05,4,1.2159756620229785,20
103,103,103.0,0.5,0.5,0.05,6,0.6908411640271059,23
104,104,104.0,0.5,0.5,0.05,8,0.4891921141707442,27
105,105,105.0,0.5,0.5,0.1,1,1.8763278608687084,10
106,106,106.0,0.5,0.5,0.1,2,2.1018917607154117,11
107,107,107.0,0.5,0.5,0.1,4,1.8236079166392307,14
108,108,108.0,0.5,0.5,0.1,6,0.7637749754565684,17
109,109,109.0,0.5,0.5,0.1,8,1.0886786814966365,19
110,110,110.0,0.5,0.5,0.2,1,5.439825192205026,7
111,111,111.0,0.5,0.5,0.2,2,3.0369306957459825,8
112,112,112.0,0.5,0.5,0.2,4,1.886158746702939,11
113,113,113.0,0.5,0.5,0.2,6,2.0065467508153345,13
114,114,114.0,0.5,0.5,0.2,8,1.3418578325596324,19
115,115,115.0,0.5,0.5,0.3,1,5.107242850646252,6
116,116,116.0,0.5,0.5,0.3,2,5.147487167814024,7
117,117,117.0,0.5,0.5,0.3,4,3.7820371816882985,9
118,118,118.0,0.5,0.5,0.3,6,0.9281127886146844,17
119,119,119.0,0.5,0.5,0.3,8,2.4956789429168107,20
120,120,120.0,0.5,0.5,0.4,1,7.2896973783913745,8
121,121,121.0,0.5,0.5,0.4,2,4.248298951806205,8
122,122,122.0,0.5,0.5,0.4,4,4.081087948170588,9
123,123,123.0,0.5,0.5,0.4,6,3.4806540133035413,14
124,124,124.0,0.5,0.5,0.4,8,3.1142894246954844,17
125,125,125.0,0.5,1.0,0.05,1,1.0895037792386968,9
126,126,126.0,0.5,1.0,0.05,2,0.9635687381092688,9
127,127,127.0,0.5,1.0,0.05,4,0.8890418735785515,10
128,128,128.0,0.5,1.0,0.05,6,0.7641710023293417,11
129,129,129.0,0.5,1.0,0.05,8,0.7156341935240127,12
130,130,130.0,0.5,1.0,0.1,1,2.3634772408054627,6
131,131,131.0,0.5,1.0,0.1,2,1.4249762209176364,7
132,132,132.0,0.5,1.0,0.1,4,1.5464584402320576,9
133,133,133.0,0.5,1.0,0.1,6,1.2047091783878283,10
134,134,134.0,0.5,1.0,0.1,8,1.0806942277941285,11
135,135,135.0,0.5,1.0,0.2,1,1.9934854394733752,4
136,136,136.0,0.5,1.0,0.2,2,1.9581041492706168,6
137,137,137.0,0.5,1.0,0.2,4,1.6257985003319402,7
138,138,138.0,0.5,1.0,0.2,6,1.5643625782112105,9
139,139,139.0,0.5,1.0,0.2,8,1.3216085947227492,10
140,140,140.0,0.5,1.0,0.3,1,4.19296118901745,5
141,141,141.0,0.5,1.0,0.3,2,2.6148837533936047,5
142,142,142.0,0.5,1.0,0.3,4,2.188956323447445,6
143,143,143.0,0.5,1.0,0.3,6,1.6673809825345738,8
144,144,144.0,0.5,1.0,0.3,8,1.3287727284160191,9
145,145,145.0,0.5,1.0,0.4,1,5.724410155370097,3
146,146,146.0,0.5,1.0,0.4,2,4.7011047443590135,4
147,147,147.0,0.5,1.0,0.4,4,2.0515191910749757,7
148,148,148.0,0.5,1.0,0.4,6,2.739145467598936,8
149,149,149.0,0.5,1.0,0.4,8,1.9630702518582719,9
150,150,150.0,0.9,0.35,0.05,1,0.9743266971330372,25
151,151,151.0,0.9,0.35,0.05,2,2.1900389022162754,25
152,152,152.0,0.9,0.35,0.05,4,3.233829709424913,27
153,153,153.0,0.9,0.35,0.05,6,1.1182413048222948,31
154,154,154.0,0.9,0.35,0.05,8,1.1430472307202355,34
155,155,155.0,0.9,0.35,0.1,1,9.92497293326386,16
156,156,156.0,0.9,0.35,0.1,2,2.202305943567353,18
157,157,157.0,0.9,0.35,0.1,4,3.304362148467884,17
158,158,158.0,0.9,0.35,0.1,6,3.8244301284609024,20
159,159,159.0,0.9,0.35,0.1,8,8.480994399780267,24
160,160,160.0,0.9,0.35,0.2,1,4.297838161498787,12
161,161,161.0,0.9,0.35,0.2,2,3.4231573149437637,12
162,162,162.0,0.9,0.35,0.2,4,3.877781681818828,16
163,163,163.0,0.9,0.35,0.2,6,3.6216674496418273,14
164,164,164.0,0.9,0.35,0.2,8,7.854629724409738,22
165,165,165.0,0.9,0.35,0.3,1,4.9877575422088745,13
166,166,166.0,0.9,0.35,0.3,2,10.971178341873268,13
167,167,167.0,0.9,0.35,0.3,4,6.305638451426324,15
168,168,168.0,0.9,0.35,0.3,6,9.302845072783775,22
169,169,169.0,0.9,0.35,0.3,8,3.377879889183716,119
170,170,170.0,0.9,0.35,0.4,1,8.356981111797271,12
171,171,171.0,0.9,0.35,0.4,2,8.37467851272843,22
172,172,172.0,0.9,0.35,0.4,4,9.785476987501069,13
173,173,173.0,0.9,0.35,0.4,6,7.776744483149222,242
174,174,174.0,0.9,0.35,0.4,8,3.603588111450228,132
175,175,175.0,0.9,0.5,0.05,1,1.9934444847533324,17
176,176,176.0,0.9,0.5,0.05,2,2.077378992365669,17
177,177,177.0,0.9,0.5,0.05,4,1.9743097192902528,20
178,178,178.0,0.9,0.5,0.05,6,1.7743434752008942,23
179,179,179.0,0.9,0.5,0.05,8,1.7424367048694187,25
180,180,180.0,0.9,0.5,0.1,1,2.258999051293592,11
181,181,181.0,0.9,0.5,0.1,2,3.133281795007863,12
182,182,182.0,0.9,0.5,0.1,4,2.402063661133073,15
183,183,183.0,0.9,0.5,0.1,6,1.5727427095280069,17
184,184,184.0,0.9,0.5,0.1,8,3.5532395793499734,19
185,185,185.0,0.9,0.5,0.2,1,6.2416864326257535,8
186,186,186.0,0.9,0.5,0.2,2,4.057034980485647,8
187,187,187.0,0.9,0.5,0.2,4,2.6632938693133856,11
188,188,188.0,0.9,0.5,0.2,6,2.519926120276494,14
189,189,189.0,0.9,0.5,0.2,8,2.8929718713484283,17
190,190,190.0,0.9,0.5,0.3,1,4.144210248764955,7
191,191,191.0,0.9,0.5,0.3,2,5.888661777438463,8
192,192,192.0,0.9,0.5,0.3,4,3.8431466616279337,9
193,193,193.0,0.9,0.5,0.3,6,2.7987927631797183,13
194,194,194.0,0.9,0.5,0.3,8,1.8996431254210144,23
195,195,195.0,0.9,0.5,0.4,1,3.658473606479787,9
196,196,196.0,0.9,0.5,0.4,2,3.4828302143107184,8
197,197,197.0,0.9,0.5,0.4,4,5.289912074964736,10
198,198,198.0,0.9,0.5,0.4,6,21.200355948818434,13
199,199,199.0,0.9,0.5,0.4,8,3.6170016047331335,20
200,200,200.0,0.9,1.0,0.05,1,3.928141456425306,9
201,201,201.0,0.9,1.0,0.05,2,3.698562307871852,9
202,202,202.0,0.9,1.0,0.05,4,3.614259324999794,10
203,203,203.0,0.9,1.0,0.05,6,3.020715844936944,11
204,204,204.0,0.9,1.0,0.05,8,2.7846495639387223,11
205,205,205.0,0.9,1.0,0.1,1,5.959298016811062,6
206,206,206.0,0.9,1.0,0.1,2,4.034992875502274,7
207,207,207.0,0.9,1.0,0.1,4,4.486171195388376,9
208,208,208.0,0.9,1.0,0.1,6,4.307650917572063,10
209,209,209.0,0.9,1.0,0.1,8,4.003591512316657,11
210,210,210.0,0.9,1.0,0.2,1,2.8060995213491817,5
211,211,211.0,0.9,1.0,0.2,2,2.7940217119192323,6
212,212,212.0,0.9,1.0,0.2,4,2.4945109780105708,7
213,213,213.0,0.9,1.0,0.2,6,4.424643966299183,9
214,214,214.0,0.9,1.0,0.2,8,3.8596595673103193,10
215,215,215.0,0.9,1.0,0.3,1,6.111844579638055,4
216,216,216.0,0.9,1.0,0.3,2,3.899461036793832,5
217,217,217.0,0.9,1.0,0.3,4,2.4133526558243394,6
218,218,218.0,0.9,1.0,0.3,6,2.6960023851250066,8
219,219,219.0,0.9,1.0,0.3,8,3.9095353618688966,9
220,220,220.0,0.9,1.0,0.4,1,6.0854355667457725,3
221,221,221.0,0.9,1.0,0.4,2,4.841261735248144,4
222,222,222.0,0.9,1.0,0.4,4,2.8934138098752613,6
223,223,223.0,0.9,1.0,0.4,6,2.8526919954754346,8
224,224,224.0,0.9,1.0,0.4,8,2.8629613594888266,9
225,0,0.0,0.5,0.05,0.005,10,0.678780970179512,664
226,1,1.0,0.5,0.05,0.005,12,0.2725419538852776,701
227,2,2.0,0.5,0.05,0.005,16,0.2450771053136345,802
228,3,3.0,0.5,0.05,0.005,20,0.2335224181352961,874
229,4,4.0,0.5,0.05,0.01,10,4.459264829396925,397
230,5,5.0,0.5,0.05,0.01,12,7.1776642005428615,437
231,6,6.0,0.5,0.05,0.01,16,10.538598219314158,547
232,7,7.0,0.5,0.05,0.01,20,21.991051193206268,645
233,8,8.0,0.5,0.1,0.005,10,0.18490075540388504,358
234,9,9.0,0.5,0.1,0.005,12,0.1811955761697301,373
235,10,10.0,0.5,0.1,0.005,16,0.1694968311422495,388
236,11,11.0,0.5,0.1,0.005,20,0.17877690345606415,411
237,12,12.0,0.5,0.1,0.01,10,0.2773245515362852,277
238,13,13.0,0.5,0.1,0.01,12,0.2717861568189792,309
239,14,14.0,0.5,0.1,0.01,16,0.3078293708555543,325
240,15,15.0,0.5,0.1,0.01,20,0.26299121887833604,360
241,16,16.0,0.5,0.2,0.005,10,0.1393985869425752,149
242,17,17.0,0.5,0.2,0.005,12,0.13140056536384095,155
243,18,18.0,0.5,0.2,0.005,16,0.12585133651462801,157
244,19,19.0,0.5,0.2,0.005,20,0.1169632461417038,164
245,20,20.0,0.5,0.2,0.01,10,0.18797550901244348,133
246,21,21.0,0.5,0.2,0.01,12,0.17614236974453876,142
247,22,22.0,0.5,0.2,0.01,16,0.1784749647667983,150
248,23,23.0,0.5,0.2,0.01,20,0.14775877058809633,162
0,0,,0.5,0.05,0.0001,20,0.08831537086971226,1207
1,1,,0.5,0.05,0.0001,22,0.08816963590955106,1209
2,2,,0.5,0.05,0.0001,26,0.08796004326598197,1211
3,3,,0.5,0.05,0.0001,28,0.08787954947500085,1212
4,4,,0.5,0.05,0.0001,32,0.08769939213791318,1213
5,5,,0.5,0.05,0.0005,20,0.0945873549718412,1172
6,6,,0.5,0.05,0.0005,22,0.09389098070859553,1178
7,7,,0.5,0.05,0.0005,26,0.09269572565439373,1189
8,8,,0.5,0.05,0.0005,28,0.0925921050257251,1192
9,9,,0.5,0.05,0.0005,32,0.09175406594005134,1200
10,10,,0.5,0.05,0.001,20,0.102512756623742,1133
11,11,,0.5,0.05,0.001,22,0.1010354058014252,1144
12,12,,0.5,0.05,0.001,26,0.09911007295520573,1158
13,13,,0.5,0.05,0.001,28,0.09838672692299076,1168
14,14,,0.5,0.05,0.001,32,0.0969911505644828,1183
15,15,,0.5,0.1,0.0001,20,0.0875584869385262,485
16,16,,0.5,0.1,0.0001,22,0.08750657033958642,485
17,17,,0.5,0.1,0.0001,26,0.08748210129636501,486
18,18,,0.5,0.1,0.0001,28,0.08744090758715553,486
19,19,,0.5,0.1,0.0001,32,0.0873659530145119,486
20,20,,0.5,0.1,0.0005,20,0.09075327167618316,478
21,21,,0.5,0.1,0.0005,22,0.09043425695447974,480
22,22,,0.5,0.1,0.0005,26,0.08969347929871947,483
23,23,,0.5,0.1,0.0005,28,0.08936918607089467,483
24,24,,0.5,0.1,0.0005,32,0.08909664583152667,484
25,25,,0.5,0.1,0.001,20,0.09492184008610086,469
26,26,,0.5,0.1,0.001,22,0.09481971424976827,473
27,27,,0.5,0.1,0.001,26,0.09312228698010684,478
28,28,,0.5,0.1,0.001,28,0.09259999624793047,481
29,29,,0.5,0.1,0.001,32,0.09308679073454457,482
30,30,,0.5,0.2,0.0001,20,0.08902678141253194,168
31,31,,0.5,0.2,0.0001,22,0.08901485677660839,168
32,32,,0.5,0.2,0.0001,26,0.08891063203316663,168
33,33,,0.5,0.2,0.0001,28,0.08894921358316316,168
34,34,,0.5,0.2,0.0001,32,0.08895748761946401,168
35,35,,0.5,0.2,0.0005,20,0.09104538101993308,168
36,36,,0.5,0.2,0.0005,22,0.09116010117120957,168
37,37,,0.5,0.2,0.0005,26,0.09008225826944384,168
38,38,,0.5,0.2,0.0005,28,0.09007450120438662,168
39,39,,0.5,0.2,0.0005,32,0.0896336935454336,169
40,40,,0.5,0.2,0.001,20,0.0919320500257024,168
41,41,,0.5,0.2,0.001,22,0.09125652063808548,168
42,42,,0.5,0.2,0.001,26,0.09134940800217048,169
43,43,,0.5,0.2,0.001,28,0.0919043356709565,169
44,44,,0.5,0.2,0.001,32,0.09093349290833004,169
